latitude,longitude,sst,sss,d18osw
-13.495278,107.937503,27.429737,33.943974,0.069171
-13.495278,109.062503,27.549925,33.955551,0.071986
-13.495278,110.187503,27.668896,33.965168,0.074020
-13.495278,111.312503,27.796518,33.970524,0.074998
-13.495278,112.437503,27.924793,33.966702,0.073349
-13.495278,113.562503,28.043694,33.949684,0.068169
-13.495278,114.687503,28.161091,33.918087,0.058895
-13.495278,115.812503,28.258400,33.878559,0.048207
-13.495278,116.937503,28.354385,33.839363,0.037748
-13.495278,118.062503,28.437456,33.809597,0.029731
-13.495278,119.187503,28.520824,33.784565,0.022561
-13.495278,120.312503,28.596441,33.746815,0.010323
-13.495278,121.437503,28.631704,33.666862,-0.013854
-13.495278,122.562503,28.549791,33.555260,-0.046819
-13.495278,123.687503,28.578604,33.405071,-0.090807
-13.495278,124.812503,28.677773,33.185875,-0.150635
-13.495278,125.937504,28.702509,32.859966,-0.234715
-13.495278,127.062504,28.615721,32.312706,-0.370951
-13.495278,128.187504,28.536161,31.699539,-0.516387
-13.495278,129.312504,28.398016,31.415220,-0.585065
-13.495278,136.062504,27.780806,31.304789,-0.583483
-13.495278,137.187504,27.784691,31.361797,-0.553377
-13.495278,138.312504,27.776936,31.357477,-0.546007
-13.495278,139.437504,27.812355,31.352968,-0.541232
-13.495278,140.562504,27.879604,31.337069,-0.544428
-13.495278,143.937504,27.243542,34.321430,0.212987
-13.495278,145.062504,26.844364,34.324646,0.214982
-13.495278,146.187504,26.646515,34.323978,0.215457
-13.495278,147.312504,26.714609,34.306629,0.212192
-13.495278,148.437504,26.884964,34.298775,0.211257
-13.495278,149.562504,26.999887,34.287842,0.209328
-13.225689,91.062503,26.897028,33.976833,0.096717
-13.225689,92.187503,26.966776,33.945831,0.088258
-13.225689,93.312503,27.021858,33.920197,0.080569
-13.225689,94.437503,27.064537,33.900429,0.074118
-13.225689,95.562503,27.091862,33.883083,0.068066
-13.225689,96.687503,27.119747,33.869781,0.062868
-13.225689,97.812503,27.140764,33.857304,0.058060
-13.225689,98.937503,27.164232,33.850613,0.054699
-13.225689,100.062503,27.179583,33.847603,0.052353
-13.225689,101.187503,27.196402,33.850182,0.051492
-13.225689,102.312503,27.217600,33.856224,0.051585
-13.225689,103.437503,27.242767,33.864277,0.052235
-13.225689,104.562503,27.280127,33.876556,0.053924
-13.225689,105.687503,27.330715,33.891037,0.056604
-13.225689,106.812503,27.404415,33.907421,0.059963
-13.225689,107.937503,27.498379,33.922508,0.063548
-13.225689,109.062503,27.609972,33.935371,0.066550
-13.225689,110.187503,27.722607,33.946014,0.068982
-13.225689,111.312503,27.842680,33.952682,0.070244
-13.225689,112.437503,27.965179,33.950115,0.069111
-13.225689,113.562503,28.079720,33.933575,0.064212
-13.225689,114.687503,28.191816,33.900322,0.055158
-13.225689,115.812503,28.284424,33.856972,0.043907
-13.225689,116.937503,28.370783,33.814175,0.033199
-13.225689,118.062503,28.443491,33.782642,0.025018
-13.225689,119.187503,28.514944,33.760162,0.018568
-13.225689,120.312503,28.578955,33.730762,0.008451
-13.225689,121.437503,28.612509,33.669540,-0.011692
-13.225689,122.562503,28.560810,33.572266,-0.042275
-13.225689,123.687503,28.545864,33.431755,-0.083987
-13.225689,124.812503,28.631565,33.221203,-0.142594
-13.225689,125.937504,28.664551,32.924557,-0.219638
-13.225689,127.062504,28.609070,32.447285,-0.339245
-13.225689,128.187504,28.540688,31.884457,-0.474682
-13.225689,129.312504,28.453070,31.562429,-0.551214
-13.225689,136.062504,27.782633,31.302917,-0.584546
-13.225689,137.187504,27.779310,31.397604,-0.543524
-13.225689,138.312504,27.768253,31.386801,-0.537766
-13.225689,139.437504,27.808168,31.357555,-0.540201
-13.225689,140.562504,27.864788,31.327660,-0.546396
-13.225689,143.937504,27.225054,34.318584,0.212667
-13.225689,145.062504,26.835657,34.321201,0.214423
-13.225689,146.187504,26.672487,34.319370,0.214735
